Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
MeTPeak	Combo30	mean_Ex_bin100_P1	0.41	0.04	1.87	0.41	0.71	Millipore	0.3	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.42	0.56	1.89	0.42	0.72	Millipore	0.3	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.42	0.69	1.59	0.42	0.72	Millipore	0.3	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.42	0.65	1.87	0.42	0.72	Millipore	0.3	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.42	0.43	1.14	0.42	0.72	Millipore	0.3	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.42	0.64	2	0.42	0.72	Millipore	0.3	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.42	0.42	2.4	0.42	0.72	Millipore	0.3	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.42	0.38	1.29	0.42	0.72	Millipore	0.3	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.42	0.69	1.65	0.42	0.72	Millipore	0.3	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.42	0.04	1.87	0.42	0.72	Millipore	0.3	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.43	0.56	1.89	0.43	0.72	Millipore	0.29	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.43	0.69	1.59	0.43	0.72	Millipore	0.29	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.43	0.65	1.81	0.43	0.72	Millipore	0.29	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.43	0.43	1.14	0.43	0.72	Millipore	0.29	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.43	0.64	2	0.43	0.72	Millipore	0.29	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.43	0.42	2.4	0.43	0.72	Millipore	0.29	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.43	0.38	1.29	0.43	0.72	Millipore	0.29	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.43	0.69	1.65	0.43	0.72	Millipore	0.29	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.43	0.04	1.78	0.43	0.72	Millipore	0.29	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.44	0.56	1.89	0.44	0.72	Millipore	0.28	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.44	0.69	1.59	0.44	0.72	Millipore	0.28	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.44	0.65	1.81	0.44	0.72	Millipore	0.28	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.44	0.43	1.12	0.44	0.72	Millipore	0.28	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.44	0.64	2	0.44	0.72	Millipore	0.28	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.44	0.42	2.4	0.44	0.72	Millipore	0.28	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.44	0.38	1.29	0.44	0.72	Millipore	0.28	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.44	0.69	1.65	0.44	0.72	Millipore	0.28	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.44	0.04	1.78	0.44	0.72	Millipore	0.28	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.45	0.56	1.89	0.45	0.73	Millipore	0.28	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.45	0.7	1.54	0.45	0.73	Millipore	0.28	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.45	0.66	1.76	0.45	0.73	Millipore	0.28	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.45	0.43	1.12	0.45	0.73	Millipore	0.28	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.45	0.64	2	0.45	0.73	Millipore	0.28	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.45	0.42	2.4	0.45	0.73	Millipore	0.28	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.45	0.38	1.29	0.45	0.73	Millipore	0.28	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.45	0.7	1.57	0.45	0.73	Millipore	0.28	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.45	0.04	1.73	0.45	0.73	Millipore	0.28	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.46	0.56	1.89	0.46	0.74	Millipore	0.28	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.46	0.7	1.54	0.46	0.74	Millipore	0.28	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.46	0.66	1.76	0.46	0.74	Millipore	0.28	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.46	0.43	1.12	0.46	0.74	Millipore	0.28	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.46	0.64	2	0.46	0.74	Millipore	0.28	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.46	0.42	2.4	0.46	0.74	Millipore	0.28	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.46	0.38	1.29	0.46	0.74	Millipore	0.28	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.46	0.7	1.57	0.46	0.74	Millipore	0.28	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.46	0.04	1.69	0.46	0.74	Millipore	0.28	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.47	0.56	1.89	0.47	0.74	Millipore	0.27	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.47	0.7	1.49	0.47	0.74	Millipore	0.27	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.47	0.66	1.7	0.47	0.74	Millipore	0.27	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.47	0.44	1.11	0.47	0.74	Millipore	0.27	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.47	0.64	2	0.47	0.74	Millipore	0.27	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.47	0.42	2.4	0.47	0.74	Millipore	0.27	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.47	0.38	1.29	0.47	0.74	Millipore	0.27	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.47	0.7	1.57	0.47	0.74	Millipore	0.27	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.47	0.04	1.64	0.47	0.74	Millipore	0.27	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.48	0.59	1.67	0.48	0.74	Millipore	0.26	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.48	0.7	1.49	0.48	0.74	Millipore	0.26	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.48	0.66	1.7	0.48	0.74	Millipore	0.26	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.48	0.44	1.11	0.48	0.74	Millipore	0.26	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.48	0.67	1.83	0.48	0.74	Millipore	0.26	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.48	0.42	2.4	0.48	0.74	Millipore	0.26	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.48	0.38	1.29	0.48	0.74	Millipore	0.26	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.48	0.71	1.5	0.48	0.74	Millipore	0.26	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.48	0.04	1.64	0.48	0.74	Millipore	0.26	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.49	0.59	1.67	0.49	0.74	Millipore	0.25	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.49	0.7	1.49	0.49	0.74	Millipore	0.25	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.49	0.67	1.66	0.49	0.74	Millipore	0.25	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.49	0.44	1.11	0.49	0.74	Millipore	0.25	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.49	0.67	1.83	0.49	0.74	Millipore	0.25	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.49	0.42	2.4	0.49	0.74	Millipore	0.25	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.49	0.38	1.29	0.49	0.74	Millipore	0.25	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.49	0.71	1.5	0.49	0.74	Millipore	0.25	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.49	0.04	1.61	0.49	0.74	Millipore	0.25	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.5	0.59	1.67	0.5	0.74	Millipore	0.24	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.5	0.71	1.44	0.5	0.74	Millipore	0.24	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.5	0.67	1.62	0.5	0.74	Millipore	0.24	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.5	0.44	1.11	0.5	0.74	Millipore	0.24	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.5	0.67	1.83	0.5	0.74	Millipore	0.24	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.5	0.42	2.4	0.5	0.74	Millipore	0.24	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.5	0.38	1.29	0.5	0.74	Millipore	0.24	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.5	0.71	1.5	0.5	0.74	Millipore	0.24	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.5	0.04	1.57	0.5	0.74	Millipore	0.24	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.51	0.59	1.67	0.51	0.75	Millipore	0.24	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.51	0.71	1.44	0.51	0.75	Millipore	0.24	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.51	0.67	1.62	0.51	0.75	Millipore	0.24	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.51	0.44	1.11	0.51	0.75	Millipore	0.24	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.51	0.67	1.83	0.51	0.75	Millipore	0.24	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.51	0.42	2.4	0.51	0.75	Millipore	0.24	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.51	0.38	1.29	0.51	0.75	Millipore	0.24	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.51	0.72	1.45	0.51	0.75	Millipore	0.24	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.51	0.04	1.53	0.51	0.75	Millipore	0.24	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.52	0.59	1.67	0.52	0.75	Millipore	0.23	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.52	0.71	1.44	0.52	0.75	Millipore	0.23	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.52	0.68	1.58	0.52	0.75	Millipore	0.23	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.52	0.45	1.09	0.52	0.75	Millipore	0.23	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.52	0.67	1.83	0.52	0.75	Millipore	0.23	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.52	0.42	2.4	0.52	0.75	Millipore	0.23	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.52	0.38	1.29	0.52	0.75	Millipore	0.23	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.52	0.72	1.45	0.52	0.75	Millipore	0.23	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.52	0.04	1.48	0.52	0.75	Millipore	0.23	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.53	0.59	1.67	0.53	0.75	Millipore	0.22	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.53	0.72	1.4	0.53	0.75	Millipore	0.22	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.53	0.68	1.58	0.53	0.75	Millipore	0.22	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.53	0.45	1.09	0.53	0.75	Millipore	0.22	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.53	0.68	1.71	0.53	0.75	Millipore	0.22	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.53	0.42	2.4	0.53	0.75	Millipore	0.22	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.53	0.38	1.29	0.53	0.75	Millipore	0.22	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.53	0.72	1.45	0.53	0.75	Millipore	0.22	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.53	0.04	1.45	0.53	0.75	Millipore	0.22	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.54	0.59	1.67	0.54	0.76	Millipore	0.22	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.54	0.72	1.4	0.54	0.76	Millipore	0.22	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.54	0.68	1.54	0.54	0.76	Millipore	0.22	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.54	0.45	1.09	0.54	0.76	Millipore	0.22	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.54	0.68	1.71	0.54	0.76	Millipore	0.22	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.54	0.42	2.4	0.54	0.76	Millipore	0.22	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.54	0.38	1.29	0.54	0.76	Millipore	0.22	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.54	0.73	1.4	0.54	0.76	Millipore	0.22	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.54	0.04	1.41	0.54	0.76	Millipore	0.22	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.55	0.61	1.52	0.55	0.76	Millipore	0.21	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.55	0.72	1.37	0.55	0.76	Millipore	0.21	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.55	0.01	8.05	0.55	0.76	Millipore	0.21	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.55	0.68	1.51	0.55	0.76	Millipore	0.21	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.55	0.45	1.08	0.55	0.76	Millipore	0.21	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.55	0.68	1.71	0.55	0.76	Millipore	0.21	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.55	0.42	2.4	0.55	0.76	Millipore	0.21	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.55	0.38	1.29	0.55	0.76	Millipore	0.21	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.55	0.73	1.4	0.55	0.76	Millipore	0.21	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.55	0.04	1.38	0.55	0.76	Millipore	0.21	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.56	0.61	1.52	0.56	0.77	Millipore	0.21	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.56	0.72	1.37	0.56	0.77	Millipore	0.21	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.56	0.01	7.08	0.56	0.77	Millipore	0.21	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.56	0.68	1.51	0.56	0.77	Millipore	0.21	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.56	0.45	1.08	0.56	0.77	Millipore	0.21	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.56	0.68	1.71	0.56	0.77	Millipore	0.21	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.56	0.42	2.4	0.56	0.77	Millipore	0.21	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.56	0.38	1.29	0.56	0.77	Millipore	0.21	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.56	0.74	1.36	0.56	0.77	Millipore	0.21	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.56	0.04	1.34	0.56	0.77	Millipore	0.21	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.57	0.61	1.52	0.57	0.77	Millipore	0.2	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.57	0.73	1.34	0.57	0.77	Millipore	0.2	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.57	0.01	6.26	0.57	0.77	Millipore	0.2	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.57	0.69	1.48	0.57	0.77	Millipore	0.2	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.57	0.45	1.08	0.57	0.77	Millipore	0.2	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.57	0.68	1.71	0.57	0.77	Millipore	0.2	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.57	0.42	2.4	0.57	0.77	Millipore	0.2	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.57	0.38	1.29	0.57	0.77	Millipore	0.2	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.57	0.74	1.36	0.57	0.77	Millipore	0.2	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.57	0.04	1.31	0.57	0.77	Millipore	0.2	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.58	0.61	1.52	0.58	0.77	Millipore	0.19	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.58	0.73	1.34	0.58	0.77	Millipore	0.19	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.58	0.01	5.88	0.58	0.77	Millipore	0.19	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.58	0.69	1.45	0.58	0.77	Millipore	0.19	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.58	0.45	1.07	0.58	0.77	Millipore	0.19	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.58	0.7	1.62	0.58	0.77	Millipore	0.19	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.58	0.42	2.4	0.58	0.77	Millipore	0.19	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.58	0.38	1.29	0.58	0.77	Millipore	0.19	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.58	0.74	1.36	0.58	0.77	Millipore	0.19	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.58	0.04	1.31	0.58	0.77	Millipore	0.19	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.59	0.61	1.52	0.59	0.77	Millipore	0.18	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.59	0.73	1.31	0.59	0.77	Millipore	0.18	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.59	0.01	5.5	0.59	0.77	Millipore	0.18	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.59	0.69	1.45	0.59	0.77	Millipore	0.18	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.59	0.45	1.07	0.59	0.77	Millipore	0.18	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.59	0.7	1.62	0.59	0.77	Millipore	0.18	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.59	0.42	2.4	0.59	0.77	Millipore	0.18	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.59	0.38	1.29	0.59	0.77	Millipore	0.18	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.59	0.74	1.32	0.59	0.77	Millipore	0.18	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.59	0.04	1.28	0.59	0.77	Millipore	0.18	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.6	0.61	1.52	0.6	0.78	Millipore	0.18	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.6	0.73	1.31	0.6	0.78	Millipore	0.18	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.6	0.01	4.58	0.6	0.78	Millipore	0.18	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.6	0.7	1.42	0.6	0.78	Millipore	0.18	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.6	0.45	1.07	0.6	0.78	Millipore	0.18	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.6	0.7	1.62	0.6	0.78	Millipore	0.18	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.6	0.42	2.4	0.6	0.78	Millipore	0.18	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.6	0.38	1.29	0.6	0.78	Millipore	0.18	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.6	0.74	1.32	0.6	0.78	Millipore	0.18	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.6	0.04	1.23	0.6	0.78	Millipore	0.18	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.61	0.63	1.41	0.61	0.78	Millipore	0.17	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.61	0.74	1.29	0.61	0.78	Millipore	0.17	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.61	0.01	4.29	0.61	0.78	Millipore	0.17	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.61	0.7	1.42	0.61	0.78	Millipore	0.17	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.61	0.45	1.07	0.61	0.78	Millipore	0.17	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.61	0.7	1.62	0.61	0.78	Millipore	0.17	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.61	0.53	1.41	0.61	0.78	Millipore	0.17	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.61	0.38	1.29	0.61	0.78	Millipore	0.17	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.61	0.75	1.29	0.61	0.78	Millipore	0.17	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.61	0.04	1.23	0.61	0.78	Millipore	0.17	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.62	0.63	1.41	0.62	0.78	Millipore	0.16	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.62	0.74	1.27	0.62	0.78	Millipore	0.16	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.62	0.01	4.03	0.62	0.78	Millipore	0.16	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.62	0.7	1.39	0.62	0.78	Millipore	0.16	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.62	0.46	1.06	0.62	0.78	Millipore	0.16	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.62	0.71	1.55	0.62	0.78	Millipore	0.16	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.62	0.53	1.41	0.62	0.78	Millipore	0.16	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.62	0.38	1.29	0.62	0.78	Millipore	0.16	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.62	0.75	1.27	0.62	0.78	Millipore	0.16	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.62	0.04	1.19	0.62	0.78	Millipore	0.16	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.63	0.63	1.41	0.63	0.78	Millipore	0.15	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.63	0.74	1.27	0.63	0.78	Millipore	0.15	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.63	0.01	3.48	0.63	0.78	Millipore	0.15	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.63	0.7	1.36	0.63	0.78	Millipore	0.15	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.63	0.46	1.06	0.63	0.78	Millipore	0.15	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.63	0.71	1.55	0.63	0.78	Millipore	0.15	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.63	0.53	1.41	0.63	0.78	Millipore	0.15	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.63	0.39	0.85	0.63	0.78	Millipore	0.15	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.63	0.75	1.27	0.63	0.78	Millipore	0.15	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.63	0.04	1.19	0.63	0.78	Millipore	0.15	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.64	0.63	1.41	0.64	0.78	Millipore	0.14	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.64	0.74	1.25	0.64	0.78	Millipore	0.14	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.64	0.01	3.27	0.64	0.78	Millipore	0.14	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.64	0.7	1.34	0.64	0.78	Millipore	0.14	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.64	0.46	1.06	0.64	0.78	Millipore	0.14	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.64	0.71	1.55	0.64	0.78	Millipore	0.14	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.64	0.53	1.41	0.64	0.78	Millipore	0.14	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.64	0.39	0.85	0.64	0.78	Millipore	0.14	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.64	0.76	1.24	0.64	0.78	Millipore	0.14	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.64	0.04	1.15	0.64	0.78	Millipore	0.14	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.65	0.63	1.41	0.65	0.78	Millipore	0.13	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.65	0.74	1.25	0.65	0.78	Millipore	0.13	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.65	0.01	3.06	0.65	0.78	Millipore	0.13	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.65	0.71	1.32	0.65	0.78	Millipore	0.13	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.65	0.46	1.05	0.65	0.78	Millipore	0.13	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.65	0.72	1.5	0.65	0.78	Millipore	0.13	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.65	0.53	1.41	0.65	0.78	Millipore	0.13	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.65	0.39	0.85	0.65	0.78	Millipore	0.13	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.65	0.76	1.24	0.65	0.78	Millipore	0.13	0.38	
MeTPeak	Combo30	mean_Ex_bin100_P1	0.65	0.04	1.15	0.65	0.78	Millipore	0.13	0.38	
TRESS	Combo68	mean_Ex_bin100_P1	0.66	0.64	1.34	0.66	0.78	Millipore	0.12	0.38	
exomePeak	Combo30	mean_Ex_bin100_P1	0.66	0.75	1.23	0.66	0.78	Millipore	0.12	0.38	
MeRIPtools	Combo2	mean_Ex_bin0_P0.1	0.66	0.01	2.86	0.66	0.78	Millipore	0.12	0.38	
exomePeak	Combo4	mean_Ex_bin50_P1	0.66	0.71	1.32	0.66	0.78	Millipore	0.12	0.38	
TRESS	Combo29	mean_Tx_bin500_P2	0.66	0.46	1.05	0.66	0.78	Millipore	0.12	0.38	
MACS2	Combo50	mean_Ex_bin100_P1	0.66	0.72	1.5	0.66	0.78	Millipore	0.12	0.38	
TRESS	Combo49	mean_Ex_bin100_P1	0.66	0.53	1.41	0.66	0.78	Millipore	0.12	0.38	
exomePeak	Combo22	mean_Ex_bin100_P2	0.66	0.39	0.85	0.66	0.78	Millipore	0.12	0.38	
TRESS	Combo32	mean_Ex_bin100_P1	0.66	0.76	1.22	0.66	0.78	Millipore	0.12	0.38	
